"_id","Name","Direction","FarEndPoint","StartPoint","EndPoint","EstimatedTime","CreateDate"
"110185265","AYE",2,"CITY","PORTSDOWN RD","ALEXANDRA RD",1,1455722168553
"110185266","AYE",2,"CITY","ALEXANDRA RD","LOWER DELTA RD",3,1455722168563
"110185267","AYE",2,"CITY","LOWER DELTA RD","KEPPEL RD",1,1455722168647
"110185268","AYE",2,"CITY","KEPPEL RD","AYE/MCE INTERCHANGE",2,1455722168653
"110185269","BKE",1,"WOODLANDS CENTRE","BKE/PIE INTERCHANGE","DIARY FARM",2,1455722168760
"110185270","BKE",1,"WOODLANDS CENTRE","DIARY FARM","BUKIT PANJANG RD",1,1455722168770
"110185271","BKE",1,"WOODLANDS CENTRE","BUKIT PANJANG RD","BKE/KJE INTERCHANGE",1,1455722168773
"110185272","BKE",1,"WOODLANDS CENTRE","BKE/KJE INTERCHANGE","MANDAI RD",2,1455722168817
"110185273","BKE",1,"WOODLANDS CENTRE","MANDAI RD","BKE/SLE INTERCHANGE",1,1455722168863
"110185274","BKE",1,"WOODLANDS CENTRE","BKE/SLE INTERCHANGE","WOODLANDS AVE 3",1,1455722168877
"110185275","BKE",1,"WOODLANDS CENTRE","WOODLANDS AVE 3","WOODLANDS CENTRE",1,1455722168897
"110185276","BKE",2,"PIE","WOODLANDS CENTRE","BKE/SLE INTERCHANGE",1,1455722168903
"110185277","BKE",2,"PIE","BKE/SLE INTERCHANGE","MANDAI RD",1,1455722168950
"110185278","BKE",2,"PIE","MANDAI RD","BKE/KJE INTERCHANGE",1,1455722168970
"110185279","BKE",2,"PIE","BKE/KJE INTERCHANGE","BUKIT PANJANG RD",2,1455722168977
"110185280","BKE",2,"PIE","BUKIT PANJANG RD","DIARY FARM ROAD",1,1455722168997
"110185281","BKE",2,"PIE","DIARY FARM ROAD","BKE/PIE INTERCHANGE",2,1455722169030
"110185282","CTE",1,"SLE/CTE INTERCHANGE","AYE/CTE INTERCHANGE","OUTRAM RD",1,1455722169043
"110185283","CTE",1,"SLE/CTE INTERCHANGE","OUTRAM RD","CLEMENCEAU AVE",1,1455722169050
"110185284","CTE",1,"SLE/CTE INTERCHANGE","CLEMENCEAU AVE","MOULMEIN RD",4,1455722169077
"110185285","CTE",1,"SLE/CTE INTERCHANGE","MOULMEIN RD","JALAN BAHAGIA",1,1455722169087
"110185286","CTE",1,"SLE/CTE INTERCHANGE","JALAN BAHAGIA","CTE/PIE INTERCHANGE",1,1455722169093
"110185287","CTE",1,"SLE/CTE INTERCHANGE","CTE/PIE INTERCHANGE","BRADDELL RD",2,1455722169137
"110185288","CTE",1,"SLE/CTE INTERCHANGE","BRADDELL RD","AMK AVE 1",1,1455722169163
"110185289","CTE",1,"SLE/CTE INTERCHANGE","AMK AVE 1","AMK AVE 3",2,1455722169170
"110185290","CTE",1,"SLE/CTE INTERCHANGE","AMK AVE 3","AMK AVE 5",1,1455722169277
"110185291","CTE",1,"SLE/CTE INTERCHANGE","AMK AVE 5","YIO CHU KANG",1,1455722169300
"110185292","CTE",1,"SLE/CTE INTERCHANGE","YIO CHU KANG","SLE/CTE INTERCHANGE",1,1455722169307
"110185293","CTE",2,"CITY","SLE/CTE INTERCHANGE","AMK AVE 5",2,1455722169450
"110185294","CTE",2,"CITY","AMK AVE 5","AMK AVE 3",1,1455722169470
"110185295","CTE",2,"CITY","AMK AVE 3","AMK AVE 1",1,1455722169473
"110185296","CTE",2,"CITY","AMK AVE 1","BRADDELL RD",2,1455722169520
"110185297","CTE",2,"CITY","BRADDELL RD","CTE/PIE INTERCHANGE",1,1455722169550
"110185298","CTE",2,"CITY","CTE/PIE INTERCHANGE","MOULMEIN RD",2,1455722169563
"110185299","CTE",2,"CITY","MOULMEIN RD","BUKIT TIMAH RD",1,1455722169593
"110185300","CTE",2,"CITY","BUKIT TIMAH RD","CAIRNHILL CIRCLE",1,1455722169600
"110185301","CTE",2,"CITY","CAIRNHILL CIRCLE","ORCHARD RD",1,1455722169617
"110185302","CTE",2,"CITY","ORCHARD RD","HAVELOCK RD",2,1455722169633
"110185303","CTE",2,"CITY","HAVELOCK RD","OUTRAM RD",1,1455722169657
"110185304","CTE",2,"CITY","OUTRAM RD","AYE/CTE INTERCHANGE",1,1455722169667
"110185305","ECP",1,"CITY","CHANGI AIRPORT","ECP/PIE INTERCHANGE",1,1455722169707
"110185306","ECP",1,"CITY","ECP/PIE INTERCHANGE","XILIN AVE",2,1455722169713
"110185307","ECP",1,"CITY","XILIN AVE","ECP SERVICE RD",1,1455722169747
"110185308","ECP",1,"CITY","ECP SERVICE RD","BEDOK RD",3,1455722169760
"110185309","ECP",1,"CITY","BEDOK RD","MARINE PARADE",2,1455722169763
"110185310","ECP",1,"CITY","MARINE PARADE","FORT RD",3,1455722169790
"110185311","ECP",1,"CITY","FORT RD","ROCHOR RD",3,1455722169800
"110185312","ECP",2,"CHANGI AIRPORT","ROCHOR RD","FORT RD",3,1455722169817
"110185313","ECP",2,"CHANGI AIRPORT","FORT RD","TANJONG KATONG ROAD",1,1455722169830
"110185314","ECP",2,"CHANGI AIRPORT","TANJONG KATONG ROAD","MARINE PARADE",1,1455722169843
"110185315","ECP",2,"CHANGI AIRPORT","MARINE PARADE","MARINE VISTA",1,1455722169850
"110185316","ECP",2,"CHANGI AIRPORT","MARINE VISTA","SIGLAP RD",1,1455722169880
"110185317","ECP",2,"CHANGI AIRPORT","SIGLAP RD","BEDOK RD",1,1455722169887
"110185318","ECP",2,"CHANGI AIRPORT","BEDOK RD","ECP SERVICE RD",1,1455722169910
"110185319","ECP",2,"CHANGI AIRPORT","ECP SERVICE RD","BAYSHORE RD",1,1455722169920
"110185320","ECP",2,"CHANGI AIRPORT","BAYSHORE RD","XILIN AVE",3,1455722169923
"110185321","ECP",2,"CHANGI AIRPORT","XILIN AVE","CHANGI AIRPORT",2,1455722169950
"110185322","KJE",1,"PIE","BKE/KJE INTERCHANGE","WOODLANDS RD",2,1455722169967
